ASP	Analyse School Performance — DfE tool replacing RAISEonline. Shows school performance against national benchmarks using KS2/KS4 data. Lagging indicator — tells you where you are, not why or what next.
IDSR	Inspection Data Summary Report — Ofsted's pre-inspection data pack. Auto-generated for each school before an inspection. Shows key metrics inspectors will focus on. You should know what's in yours before they arrive.
MYSA	Multi-Year School Analysis — DfE longitudinal tool. Shows performance trends over multiple years rather than single-year snapshots. Useful for spotting trajectory, not just position.
School Comparison Tool	DfE public tool (formerly School Performance Tables). Lets you compare schools using published KS2/KS4 data, absence, finance. Available at compare-school-performance.service.gov.uk. Your 13 schools' data is public here.
NPD	National Pupil Database — DfE's central relational database of all pupils in England. Fed by School Census, exam results, attendance, exclusions. Extracts delivered as CSV flat files. Not XML. The national stats warehouse.
CTF	Common Transfer File — XML format used for peer-to-peer pupil transfer between schools. When a pupil moves, sending school exports CTF, receiving school imports it into their MIS. Does NOT feed the NPD.
School Census	Termly statutory return submitted by every school via their MIS (Arbor, SIMS etc.) to DfE. Covers pupil demographics, attendance, exclusions, SEN provision, free school meals. Feeds the NPD. Three per year: autumn, spring, summer.
FFT Aspire	Fischer Family Trust Aspire — predictive analytics tool. Generates pupil-level estimates/targets based on prior attainment and national patterns. Widely used for target-setting and identifying underperformance. Subscription service.
Perspective Lite	Free benchmarking tool from FFT. Lighter version of FFT Aspire. Lets schools compare performance against similar schools using contextual filters. Good for quick benchmarking without full FFT subscription.
Schools BI	Schools Business Intelligence — DfE's internal analytics platform for regional directors and advisors. Not typically available to schools/Trusts directly. Used by DfE to monitor school performance at scale.
Compass Pulse	Real-time pulse survey tool for staff wellbeing and school climate. Captures "tone" data — how staff feel, engagement levels, workload perception. Quick, regular micro-surveys rather than annual staff surveys.
MAT	Multi Academy Trust — a group of academies operating under a single trust with shared governance, central functions, and accountability. DRB Ignite is a MAT with 13 primary schools.
Progress 8	Secondary school accountability measure. Compares pupils' KS4 results against pupils nationally with similar KS2 starting points. Score of 0 = average progress; positive = above average. Applies to secondary, not DRB's primaries.
Attainment 8	Secondary school accountability measure. Average grade across 8 GCSE subjects (English, maths, 3 EBacc, 3 open). Raw attainment, not progress. Again secondary — DRB is primary, so KS2 measures apply instead.
KS2	Key Stage 2 — end of primary school (Year 6, age 10-11). National tests (SATs) in reading, maths, GPS (grammar/punctuation/spelling). Writing is teacher-assessed. This is DRB Ignite's main accountability measure.
KS4	Key Stage 4 — end of secondary school (Year 11, age 15-16). GCSEs. Measured by Progress 8 and Attainment 8. Not directly relevant to DRB's primary schools but useful context.
SEF	Self-Evaluation Form — school's own assessment of its strengths and areas for development, structured around the Ofsted framework. Narrative-heavy, often evidence-light. Your slides reference making these more data-driven.
SIP	School Improvement Plan (also SDP — School Development Plan). Outlines priorities, actions, success criteria, and timelines for school improvement. Should be evidence-based but often isn't.
CIF	Condition Improvement Fund — DfE capital funding for academies and sixth-form colleges. Competitive bid process for building repairs/improvements. Your estates slides propose using data to strengthen CIF bids.
SCA	School Condition Allocation — formulaic capital funding given directly to large MATs (those with 5+ academies and at least 3,000 pupils). DRB Ignite likely receives SCA rather than bidding for CIF. Used for prioritised maintenance.
GAG	General Annual Grant — the main revenue funding academies receive from ESFA. Based on pupil numbers and the national funding formula. Replaces the delegated budget that maintained schools get from their LA.
ESFA	Education and Skills Funding Agency — the DfE body that funds and regulates academies and further education. Monitors MAT finances. Issues Financial Notices to Improve if concerned. Your finance slides should acknowledge their oversight role.
PP	Pupil Premium — additional government funding for disadvantaged pupils (those eligible for FSM in last 6 years, looked-after children, service children). Schools must demonstrate impact. A key accountability metric.
FSM	Free School Meals — eligibility indicator used as a proxy for disadvantage. "Ever 6 FSM" (eligible at any point in last 6 years) determines Pupil Premium funding. Often the primary deprivation measure in school data.
